# Capture Picture flow, flash selection check: app dev after #263 (branch feat/light-sensor-readings b9f2ba56), firmware ae_review ee65771f
# Started 2026-09-03 12:21:41. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# Filtered to the lines that carry the story: app writes and receipts, nRF relay, Himax capture, flash, light, sleep and transfer markers. Hex dumps and per-packet chatter removed.
[14:52.793] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[14:53.696] himax | Inactive for 1000ms
[14:53.696] himax | Sending 100 bytes: Header 4, payload 94, checksum 2 'Sleep 298 ... op8=3000 ... op24=15 op25=0 ...
[14:53.696] himax |  No LED flashes.
[14:53.696] himax | >>> Entering DPD at 2024:01:01 00:00:04
[14:54.000] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[15:02.735] app   | Written AI setop 13 1 to the device WILD-CNKW (12:36:44-540)
[15:02.856] nrf   | BLE in: Received  13 bytes 'AI setop 13 1'
[15:02.856] nrf   | <info> app: AI processor is in DPD. Waking it. (setop 13 1)
[15:02.856] himax | DEBUG: ledFlashSelectLED(0)
[15:03.458] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[15:03.458] himax | DEBUG: ledFlashSelectLED(2)
[15:03.458] himax | [LS] In ledFlashSetFlashModeFromOpParam with 2 Mode 1
[15:03.458] himax |   Flash LED(s) in use: 2
[15:03.458] himax | MKL62BA command received: 'selftest'
[15:03.458] himax | selfTest 0000
[15:03.458] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[15:03.458] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[15:03.759] nrf   | BLE out: Sent   5 bytes: 'Wake'
[15:03.759] nrf   | <info> app: AI processor replies: 'Set OpParam 13 = 1'
[15:03.759] nrf   | BLE out: Sent  19 bytes: 'Set OpParam 13 = 1'
[15:03.759] himax | MKL62BA command received: 'setop 13 1'
[15:03.759] himax | Set OpParam 13 = 1
[15:03.759] himax | Sending 24 bytes: Header 4, payload 18, checksum 2 'Set OpParam 13 = 1'
[15:03.759] himax | 000: 80 04 12 00 53 65 74 20  4f 70 50 61 72 61 6d 20 ....Set OpParam 
[15:03.864] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Set OpParam 13 = 1
[15:06.795] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[15:06.795] himax | Inactive for 3000ms
[15:06.795] himax | Sending 100 bytes: Header 4, payload 94, checksum 2 'Sleep 298 ... op8=3000 ... op24=15 op25=0 ...
[15:06.795] himax |  No LED flashes.
[15:06.795] himax | >>> Entering DPD at 2024:01:01 00:00:18
[15:07.181] app   | [useCapturePreview] startCapture called (count=1, interval=500)
[15:07.181] app   | [useCapturePreview] Phase 1: Setup  checking device state
[15:07.184] app   | Written AI getop -1 to the device WILD-CNKW (12:36:48-988)
[15:07.399] nrf   | BLE in: Received  11 bytes 'AI getop -1'
[15:07.399] nrf   | <info> app: AI processor is in DPD. Waking it. (getop -1)
[15:07.701] himax | DEBUG: ledFlashSelectLED(0)
[15:08.319] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[15:08.319] himax | DEBUG: ledFlashSelectLED(1)
[15:08.319] himax | [LS] In ledFlashSetFlashModeFromOpParam with 1 Mode 1
[15:08.319] himax |   Flash LED(s) in use: 1
[15:08.319] himax | MKL62BA command received: 'selftest'
[15:08.319] himax | selfTest 0000
[15:08.319] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[15:08.319] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[15:08.319] himax | MKL62BA command received: 'getop -1'
[15:08.621] nrf   | BLE out: Sent   5 bytes: 'Wake'
[15:08.856] app   | [useCapturePreview] Phase 1 complete  waiting for device to sleep
[15:11.364] himax | Inactive for 3000ms
[15:11.364] himax | Sending 100 bytes: Header 4, payload 94, checksum 2 'Sleep 298 ... op8=3000 ... op24=15 op25=0 ...
[15:11.364] himax |  No LED flashes.
[15:11.364] himax | >>> Entering DPD at 2024:01:01 00:00:23
[15:11.666] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[15:11.683] app   | [useCapturePreview] Phase 2: Capture  sending AI capture 1 500
[15:11.685] app   | Written AI capture 1 500 to the device WILD-CNKW (12:36:53-490)
[15:11.968] nrf   | BLE in: Received  16 bytes 'AI capture 1 500'
[15:11.968] nrf   | <info> app: AI processor is in DPD. Waking it. (capture 1 500)
[15:12.268] himax | DEBUG: ledFlashSelectLED(0)
[15:12.584] himax | DEBUG: ledFlashBrightness(95%) [brbits = 0xe]
[15:12.584] himax | DEBUG: ledFlashSelectLED(1)
[15:12.584] himax | [LS] In ledFlashSetFlashModeFromOpParam with 1 Mode 1
[15:12.584] himax |   Flash LED(s) in use: 1
[15:12.816] himax | MKL62BA command received: 'selftest'
[15:12.816] himax | selfTest 0000
[15:12.816] himax | Sending 19 bytes: Header 4, payload 13, checksum 2 'selfTest 0000'
[15:12.816] himax | 000: 80 04 0d 00 73 65 6c 66  54 65 73 74 20 30 30 30 ....selfTest 000
[15:12.816] himax | MKL62BA command received: 'capture 1 500'
[15:12.816] himax | Images to capture: 1
[15:12.816] himax | Image capture 1/1 took 52ms
[15:12.816] himax | [LS] AE light check: AGain = 0, conv=Y -> BRIGHT
[15:12.816] himax | Sending 49 bytes: Header 4, payload 43, checksum 2 'AE light check: AGain = 0, conv=Y -> BRIGHT'
[15:12.816] himax |   Integration time = 376 lines
[15:12.816] himax |   Analog gain = 0
[15:12.816] himax |   Digital gain = 118
[15:12.816] himax |   AE Mean = 84
[15:13.084] nrf   | BLE out: Sent   5 bytes: 'Wake'
[15:13.084] nrf   | BLE out: Sent  64 bytes: 'About to capture 1 image with an interval of '500' milliseconds'
[15:13.084] nrf   | BLE out: Sent  44 bytes: 'AE light check: AGain = 0, conv=Y -> BRIGHT'
[15:13.125] himax |   Integration time = 376 lines
[15:13.125] himax |   Analog gain = 0
[15:13.125] himax |   Digital gain = 118
[15:13.125] himax |   AE Mean = 84
[15:13.309] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: AE light check: AGain = 0, conv=Y -> BRIGHT
[15:13.392] nrf   |   Integration time = 376 lines
[15:13.392] nrf   |   Analog gain = 0
[15:13.392] nrf   |   Digital gain = 118
[15:13.392] nrf   |   AE Mean = 84
[15:13.392] nrf   | BLE out: Sent  63 bytes: 'Captured 1 images. Last is 59200990.JPG (File write 51ms avg.)'
[15:13.439] himax | File write took 51ms
[15:13.535] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Integration time = 376 lines
[15:13.537] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Analog gain = 0
[15:13.538] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   Digital gain = 118
[15:13.539] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23:   AE Mean = 84
[15:14.410] app   | [useCapturePreview] Phase 2 complete  captured: 59200990.JPG
[15:14.411] app   | [useCapturePreview] Waiting for device to sleep after capture (Save State + DPD)
[15:16.478] himax | Inactive for 3000ms
[15:16.478] himax | Sending 100 bytes: Header 4, payload 94, checksum 2 'Sleep 299 ... op8=3000 ... op24=15 op25=0 ...
[15:16.478] himax |  No LED flashes.
[15:16.478] himax | >>> Entering DPD at 2024:01:01 00:00:28
[15:16.718] nrf   | BLE out: Sent   6 bytes: 'Sleep'
[15:16.771] app   | [useCapturePreview] Phase 3: Transfer  requesting txfile 59200990.JPG
[15:16.775] app   | Written AI txfile 59200990.JPG to the device WILD-CNKW (12:36:58-580)
[15:17.019] nrf   | BLE in: Received  22 bytes 'AI txfile 59200990.JPG'
[15:17.019] nrf   | <info> app: AI processor is in DPD. Waking it. (txfile 59200990.JPG)
