# Final Capture Picture matrix before commit: flash Off/White/IR, both cameras, repeated captures, leave and re-enter. App feat/capture-keep-awake (tidied, uncommitted) on firmware ae_review e8b7feb5
# Started 2026-09-03 16:26:53. Times are MM:SS.mmm from the start of the capture.
# himax = COM6 @ 921600 (known adapter FTFAERNNA)
# nrf   = COM5 @ 115200 (known adapter FTH0BZPJA)
#
# The ten-step matrix: flash Off/White/White/IR on Black & White, switch to Colour, White and Off on Colour, leave, re-enter (hung: the transport's sleep pause), capture. Filtered to app writes and hook logs, slot replies, and the Himax wake, flash, light, capture, sleep, reset and transfer markers.
[08:36.055] himax | 000: 80 04 3e 00 43 61 70 74  75 72 65 64 20 31 20 69 ..>.Captured 1 i
[08:36.505] nrf   | BLE out: Sent  53 bytes: 'AE light check: AGain = 1, conv=Y -> BRIGHT (change)'
[08:36.505] nrf   | BLE out: Sent  63 bytes: 'Captured 1 images. Last is 5921E7A0.JPG (File write 45ms avg.)'
[08:36.537] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: AE light check: AGain = 1, conv=Y -> BRIGHT (change)
[08:37.474] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Captured 1 images. Last is 5921E7A0.JPG (File write 45ms avg.)
[08:37.841] app   | [useCapturePreview] Phase 2 complete  captured: 5921E7A0.JPG
[08:37.844] app   | [useCapturePreview] Device held awake; sending txfile without waiting for sleep
[08:37.844] app   | [useCapturePreview] Phase 3: Transfer  requesting txfile 5921E7A0.JPG
[08:37.889] app   | Written AI txfile 5921E7A0.JPG to the device WILD-CNKW (16:35:32-014)
[08:38.108] himax | 14810 bytes in 5921E7A0.JPG
[08:38.108] himax | Sending 33 bytes: Header 4, payload 27, checksum 2 '14810 bytes in 5921E7A0.JPG'
[08:38.158] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: 14810 bytes in 5921E7A0.JPG
[08:38.522] nrf   | <info> app: AI processor replies: '14810 bytes in 5921E7A0.JPG'
[08:38.522] nrf   | BLE out: Sent  28 bytes: '14810 bytes in 5921E7A0.JPG'
[08:51.818] app   | ImageReassembler: Transfer complete! Received 14810/14810 (0 gaps)
[08:51.891] app   | ImageReassembler: Image saved to file:///data/user/0/com.wildlife.wildlifewatcher.expo/cache/capture_1788410145950.jpg [SUCCESS] (14810/14810 bytes)
[08:54.007] app   | Written AI slots to the device WILD-CNKW (16:35:48-124)
[08:54.071] himax | Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[08:54.071] himax | Sending 122 bytes: Header 4, payload 116, checksum 2 'Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[08:54.071] himax | 000: 80 04 74 00 41 63 74 69  76 65 20 73 6c 6f 74 20 ..t.Active slot 
[08:54.155] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off
[08:54.223] nrf   | <info> app: AI processor replies: 'Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[08:54.223] nrf   | BLE out: Sent 117 bytes: 'Active slot 0 running 'HM0360 (night/IR)'. Slot A: 'HM0360 (night/IR)', Slot B: 'RP3 (day/colour)'. Auto-switch: off'
[08:54.490] app   | [useCameraSwitch] switching from HM0360 to RP3
[08:54.522] app   | Written AI switchslot to the device WILD-CNKW (16:35:48-642)
[08:54.680] himax | Switched to slot 1 ('RP3 (day/colour)'). Reset scheduled.
[08:54.680] himax | Sending 63 bytes: Header 4, payload 57, checksum 2 'Switched to slot 1 ('RP3 (day/colour)'). Reset scheduled.'
[08:54.743] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Switched to slot 1 ('RP3 (day/colour)'). Reset scheduled.
[08:54.840] nrf   | <info> app: AI processor replies: 'Switched to slot 1 ('RP3 (day/colour)'). Reset scheduled.'
[08:54.840] nrf   | BLE out: Sent  58 bytes: 'Switched to slot 1 ('RP3 (day/colour)'). Reset scheduled.'
[08:57.737] himax | Inactive for 3000ms
[08:57.858] app   | [useBleListeners] RAW_RX received for D6:47:9B:89:E7:23: Sleep
[08:57.858] app   | [BleSession] SLEEP signal detected  proceeding.
[08:58.040] himax |  No LED flashes.
[08:58.040] himax | >>> Reset by watchdog
